index,kanji,kanji_old,radical,strokes,grade,year,meanings,on,kun,frequency,jlpt
178,改,,攴,7,4,,reformation,カイ,あらた-める|あらた-まる,1254,2
179,怪,,心,8,S,,suspicious,カイ,あや-しい|あや-しむ,2703,1
180,拐,,手,8,S,1981,kidnap,カイ,,12405,1
181,悔,悔,心,9,S,,repent,カイ,く-いる|く-やむ|くや-しい,3955,1
182,海,海,水,9,2,,sea,カイ,うみ,569,4
183,界,,田,9,3,,world,カイ,,236,4
184,皆,,白,9,S,,all,カイ,みな,392,3
185,械,,木,11,4,,contraption,カイ,,2325,2
186,絵,繪,糸,12,2,,picture,カイ|エ,,841,3
187,開,,門,12,3,,open,カイ,ひら-く|ひら-ける|あ-く|あ-ける,296,4
188,階,,阜,12,3,,floor of a building,カイ,,1061,2
189,塊,,土,13,S,,clod,カイ,かたまり,13989,1
190,楷,,木,13,S,2010,square character style,カイ,,40349,1
191,解,,角,13,5,,untie,カイ|ゲ,と-く|と-かす|と-ける,744,3
192,潰,,水,15,S,2010,crush,カイ,つぶ-す|つぶ-れる,3289,1
193,壊,壞,土,16,S,,demolition,カイ,こわ-す|こわ-れる,2540,1
194,懐,懷,心,16,S,,pocket,カイ,ふところ|なつ-かしい|なつ-かしむ|なつ-く|なつ-ける,2572,1
195,諧,,言,16,S,2010,harmony,カイ,,35066,1
196,貝,,貝,7,1,,shellfish,,かい,7834,2
197,外,,夕,5,2,,outside,ガイ|ゲ,そと|ほか|はず-す|はず-れる,452,5
198,劾,,力,8,S,,censure,ガイ,,45248,1
199,害,,宀,10,4,,harm,ガイ,,1307,3
200,崖,,山,11,S,2010,cliff,ガイ,がけ,5957,1
201,涯,,水,11,S,1981,horizon,ガイ,,2893,1
202,街,,行,12,4,,street,ガイ（カイ）,まち,1188,1
203,慨,慨,心,13,S,,rue,ガイ,,11105,1
204,蓋,,艸,13,S,2010,cover,ガイ,ふた,2588,1
205,該,,言,13,S,,above-stated,ガイ,,1574,1
206,概,槪,木,14,S,,outline,ガイ,,1847,1
207,骸,,骨,16,S,2010,dead remains,ガイ,,10849,1
208,垣,,土,9,S,1981,hedge,,かき,8490,1
209,柿,,木,9,S,2010,persimmon,,かき,9126,1
210,各,,口,6,4,,each,カク,おのおの,2627,2
211,角,,角,7,2,,angle,カク,かど|つの,754,2
212,拡,擴,手,8,6,,broaden,カク,,1505,1
213,革,,革,9,6,,leather,カク,かわ,2186,2
214,格,,木,10,5,,status,カク（コウ）,,945,3
215,核,,木,10,S,,nucleus,カク,,4447,1
216,殻,殼,殳,11,S,1981,husk,カク,から,6300,1
217,郭,,邑,11,S,,enclosure,カク,,7192,1
218,覚,覺,見,12,4,,memorize,カク,おぼ-える|さ-ます|さ-める,501,3
219,較,,車,13,S,,contrast,カク,,1443,1
220,隔,,阜,13,S,,isolate,カク,へだ-てる|へだ-たる,5358,1
221,閣,,門,14,6,,tall,カク,,4949,1
222,確,,石,15,5,,certain,カク,たし-か|たし-かめる,363,3
223,獲,,犬,16,S,,seize,カク,え-る,2726,1
224,嚇,,口,17,S,,menacing,カク,,19087,1
225,穫,,禾,18,S,,harvest,カク,,5194,1
226,学,學,子,8,1,,study,ガク,まな-ぶ,424,5
227,岳,嶽,山,8,S,,point,ガク,たけ,24946,1
228,楽,樂,木,13,2,,pleasure,ガク|ラク,たの-しい|たの-しむ,470,4
229,額,,頁,18,5,,amount,ガク,ひたい,881,2
230,顎,,頁,18,S,2010,jaw,ガク,あご,2921,1
231,掛,,手,11,S,,hang,,か-ける|か-かる|かかり,159,3
232,潟,,水,15,4,1981,lagoon,,かた,7160,1
233,括,,手,9,S,,fasten,カツ,,8629,1
234,活,,水,9,2,,active,カツ,,372,3
235,喝,喝,口,11,S,1981,hoarse,カツ,,23256,1
236,渇,渴,水,11,S,,thirst,カツ,かわ-く,28114,1
237,割,,刀,12,6,,divide,カツ,わ-る|わり|わ-れる|さ-く,694,3
238,葛,,艸,12,S,2010,arrowroot,カツ,くず,7357,1
239,滑,,水,13,S,,slippery,カツ|コツ,すべ-る|なめ-らか,3061,1
240,褐,褐,衣,13,S,1981,brown,カツ,,13275,1
241,轄,,車,17,S,,control,カツ,,10990,1
242,且,,一,5,S,,moreover,,か-つ,669,1
243,株,,木,10,6,,stocks,,かぶ,2422,1
244,釜,,金,10,S,2010,kettle,,かま,7766,1
245,鎌,,金,18,S,2010,sickle,,かま,5819,1
246,刈,,刀,4,S,,reap,,か-る,13116,1
247,干,,干,3,6,,dry,カン,ほ-す|ひ-る,3085,2
248,刊,,刀,5,5,,publish,カン,,6235,2
249,甘,,甘,5,S,,sweet,カン,あま-い|あま-える|あま-やかす,1450,2
250,汗,,水,6,S,,sweat,カン,あせ,1275,2
251,缶,罐,缶,6,S,1981,tin can,カン,,7586,2
252,完,,宀,7,4,,perfect,カン,,757,3
253,肝,,肉,7,S,,liver,カン,きも,3875,1
254,官,,宀,8,4,,government official,カン,,3326,3
255,冠,,冖,9,S,,crown,カン,かんむり,12806,1
256,巻,卷,卩,9,6,,scroll,カン,ま-く|まき,2051,2
257,看,,目,9,6,,watch over,カン,,3499,1
258,陥,陷,阜,10,S,,collapse,カン,おちい-る|おとしい-れる,2138,1
259,乾,,乙,11,S,,dry,カン,かわ-く|かわ-かす,2861,2
260,勘,,力,11,S,,intuition,カン,,5571,1
261,患,,心,11,S,,afflicted,カン,わずら-う,927,2
262,貫,,貝,11,S,,pierce,カン,つらぬ-く,3597,1
263,寒,,宀,12,3,,cold,カン,さむ-い,1363,3
264,喚,,口,12,S,,yell,カン,,8674,1
265,堪,,土,12,S,,withstand,カン,た-える,2278,1
266,換,,手,12,S,,interchange,カン,か-える|か-わる,3041,2
267,敢,,攴,12,S,,daring,カン,,1070,1
268,棺,,木,12,S,,coffin,カン,,11499,1
269,款,,欠,12,S,,goodwill,カン,,6560,1
270,間,,門,12,2,,interval,カン|ケン,あいだ|ま,150,5
271,閑,,門,12,S,,leisure,カン,,11562,1
272,勧,勸,力,13,S,,persuade,カン,すす-める,1234,1
273,寛,寬,宀,13,S,,tolerant,カン,,7889,1
274,幹,,干,13,5,,tree-trunk,カン,みき,4467,1
275,感,,心,13,3,,feeling,カン,,255,3
276,漢,漢,水,13,3,,China,カン,,2655,4
277,慣,,心,14,5,,accustomed,カン,な-れる|な-らす,1525,3
278,管,,竹,14,4,,pipe,カン,くだ,2262,2
279,関,關,門,14,4,,related,カン,せき|かか-わる,214,3
280,歓,歡,欠,15,S,,delight,カン,,6472,1
281,監,,皿,15,S,,oversee,カン,,1918,1
282,緩,,糸,15,S,,slacken,カン,ゆる-い|ゆる-やか|ゆる-む|ゆる-める,4039,1
283,憾,,心,16,S,,remorse,カン,,9204,1
284,還,,辵,16,S,,send back,カン,,9140,1
285,館,,食,16,3,,public building,カン,やかた,2712,4
286,環,,玉,17,S,,ring,カン,,656,1
287,簡,,竹,18,6,,simplicity,カン,,421,2
288,観,觀,見,18,4,,observe,カン,,1245,3
289,韓,,韋,18,S,2010,Korea,カン,,1143,1
290,艦,,舟,21,S,,warship,カン,,11217,1
291,鑑,,金,23,S,,specimen,カン,かんが-みる,5222,1
292,丸,,丶,3,2,,circle,ガン,まる|まる-い|まる-める,695,2
293,含,,口,7,S,,include,ガン,ふく-む|ふく-める,297,2
294,岸,,山,8,3,,beach,ガン,きし,3995,2
295,岩,,山,8,2,,boulder,ガン,いわ,3103,2
296,玩,,玉,8,S,2010,trifle with,ガン,,4373,1
297,眼,,目,11,5,,eyeball,ガン（ゲン）,まなこ,3360,1
298,頑,,頁,13,S,1981,stubborn,ガン,,485,1
299,顔,,頁,18,2,,face,ガン,かお,155,3
300,願,,頁,19,4,,request,ガン,ねが-う,446,3
301,企,,人,6,S,,plan,キ,くわだ-てる,437,1
302,伎,,人,6,S,2010,deed,キ,,9232,1
303,危,,卩,6,6,,dangerous,キ,あぶ-ない|あや-うい|あや-ぶむ,1474,3
304,机,,木,6,6,,desk,キ,つくえ,1964,2
305,気,氣,气,6,1,,feeling,キ|ケ,,116,5
306,岐,,山,7,4,,branch off,キ,,10654,1
307,希,,巾,7,4,,hope,キ,,1580,2
308,忌,,心,7,S,,mourning,キ,い-む|い-まわしい,16716,1
309,汽,,水,7,2,,steam,キ,,6235,1
310,奇,,大,8,S,,strange,キ,,502,1
311,祈,祈,示,8,S,,pray,キ,いの-る,2572,2
312,季,,子,8,4,,seasons,キ,,1667,2
313,紀,,糸,9,5,,chronicle,キ,,3288,1
314,軌,,車,9,S,,rut,キ,,6851,1
315,既,既,无,10,S,,previously,キ,すで-に,277,1
316,記,,言,10,2,,write down,キ,しる-す,919,3
317,起,,走,10,3,,wake up,キ,お-きる|お-こる|お-こす,423,4
318,飢,,食,10,S,,hungry,キ,う-える,9769,1
319,鬼,,鬼,10,S,,ghost,キ,おに,3567,1
320,帰,歸,止,10,2,,return,キ,かえ-る|かえ-す,2355,4
321,基,,土,11,5,,foundation,キ,もと|もとい,402,1
322,寄,,宀,11,5,,approach,キ,よ-る|よ-せる,1799,3
323,規,,見,11,5,,rule,キ,,377,3
324,亀,龜,龜,11,S,2010,turtle,キ,かめ,5480,1
325,喜,,口,12,5,,rejoice,キ,よろこ-ぶ,884,3
326,幾,,幺,12,S,,how many,キ,いく,606,3
327,揮,,手,12,6,,brandish,キ,,2018,1
328,期,,月,12,3,,period of time,キ（ゴ）,,512,3
329,棋,,木,12,S,,chess piece,キ,,10849,1
330,貴,,貝,12,6,,precious,キ,たっと-い|とうと-い|たっと-ぶ|とうと-ぶ,147,1
331,棄,,木,13,S,,abandon,キ,,4838,1
332,毀,,殳,13,S,2010,destroy,キ,,25093,1
333,旗,,方,14,4,,national flag,キ,はた,5281,1
334,器,器,口,15,4,,container,キ,うつわ,2711,1
335,畿,,田,15,S,2010,capital,キ,,16018,1
336,輝,,車,15,S,,radiance,キ,かがや-く,1571,1
337,機,,木,16,4,,machine,キ,はた,828,3
338,騎,,馬,18,S,,equestrian,キ,,9232,1
339,技,,手,7,5,,skill,ギ,わざ,874,2
340,宜,,宀,8,S,,best regards,ギ,,820,1
341,偽,僞,人,11,S,,falsehood,ギ,いつわ-る|にせ,6980,1
342,欺,,欠,12,S,,deceit,ギ,あざむ-く,6101,1
343,義,,羊,13,5,,righteousness,ギ,,1947,1
344,疑,,疋,14,6,,doubt,ギ,うたが-う,1208,3
345,儀,,人,15,S,,ceremony,ギ,,4289,1
346,戯,戲,戈,15,S,,frolic,ギ,たわむ-れる,7781,1
347,擬,,手,17,S,,mimic,ギ,,18418,1
348,犠,犧,牛,17,S,,sacrifice,ギ,,2465,1
349,議,,言,20,4,,deliberation,ギ,,968,3
350,菊,,艸,11,S,,chrysanthemum,キク,,7897,1
351,吉,,口,6,S,,good luck,キチ|キツ,,2957,1
352,喫,,口,12,S,,consume,キツ,,5271,2
353,詰,,言,13,S,,packed,キツ,つ-める|つ-まる|つ-む,268,2
354,却,,卩,7,S,,instead,キャク,,2063,1
355,客,,宀,9,3,,guest,キャク|カク,,1161,3
356,脚,,肉,11,S,,leg,キャク（キャ）,あし,2659,1
357,逆,,辵,9,5,,inverted,ギャク,さか|さか-らう,621,2
358,虐,,虍,9,S,,tyrannize,ギャク,しいた-げる,6624,1
359,九,,乙,2,1,,nine,キュウ|ク,ここの|ここの-つ,528,5
360,久,,丿,3,5,,long time,キュウ（ク）,ひさ-しい,1812,2
361,及,,又,3,S,,reach out,キュウ,およ-ぶ|およ-び|およ-ぼす,128,1
362,弓,,弓,3,2,,bow (archery|violin),キュウ,ゆみ,8098,1
363,丘,,一,5,S,,hill,キュウ,おか,3061,1
364,旧,舊,臼,5,5,,old times,キュウ,,11806,2
365,休,,人,6,1,,rest,キュウ,やす-む|やす-まる|やす-める,1794,5
366,吸,,口,6,6,,suck,キュウ,す-う,1785,3
367,朽,,木,6,S,,decay,キュウ,く-ちる,20746,1
368,臼,,臼,6,S,2010,mortar,キュウ,うす,23660,1
369,求,,水,7,4,,request,キュウ,もと-める,273,3
370,究,,穴,7,3,,research,キュウ,きわ-める,665,4
371,泣,,水,8,4,,cry,キュウ,な-く,1011,1
372,急,,心,9,3,,hurry,キュウ,いそ-ぐ,763,4
373,級,,糸,9,3,,rank,キュウ,,5599,1
374,糾,,糸,9,S,,twist,キュウ,,22057,1
375,宮,,宀,10,3,,Shinto shrine,キュウ|グウ（ク）,みや,4645,1
376,救,,攴,11,5,,salvation,キュウ,すく-う,2068,1
377,球,,玉,11,3,,sphere,キュウ,たま,1588,3
378,給,,糸,12,4,,salary,キュウ,,3020,3
379,嗅,,口,13,S,2010,smell,キュウ,か-ぐ,6450,1
380,窮,,穴,15,S,,hard up,キュウ,きわ-める|きわ-まる,10613,1
381,牛,,牛,4,2,,cow,ギュウ,うし,2836,4
382,去,,厶,5,3,,leave,キョ|コ,さ-る,737,4
383,巨,,工,4,S,,gigantic,キョ,,1852,2
384,居,,尸,8,5,,reside,キョ,い-る,64,3
385,拒,,手,8,S,,repel,キョ,こば-む,3068,1
386,拠,據,手,8,S,,foothold,キョ|コ,,1626,1
387,挙,擧,手,10,4,,raise,キョ,あ-げる|あ-がる,3207,1
388,虚,虛,虍,11,S,,void,キョ（コ）,,6980,1
389,許,,言,11,5,,permit,キョ,ゆる-す,802,3
390,距,,足,12,S,,long-distance,キョ,,1325,1
391,魚,,魚,11,2,,fish,ギョ,うお|さかな,1128,4
392,御,,彳,12,S,,honorable,ギョ|ゴ,おん,115,3
393,漁,,水,14,4,,fishing,ギョ|リョウ,,7929,2
394,凶,,凵,4,S,,villain,キョウ,,11884,1
395,共,,八,6,4,,together,キョウ,とも,247,3
396,叫,,口,6,S,,shout,キョウ,さけ-ぶ,1051,2
397,狂,,犬,7,S,,lunatic,キョウ,くる-う|くる-おしい,3633,1
398,京,,亠,8,2,,capital,キョウ|ケイ,,510,4
399,享,,亠,8,S,,receive,キョウ,,10493,1
400,供,,人,8,6,,offer,キョウ（ク）,そな-える|とも,139,3
401,協,,十,8,4,,cooperation,キョウ,,1395,2
402,況,,水,8,S,,condition,キョウ,,307,2
403,峡,峽,山,9,S,,gorge,キョウ,,20331,1
404,挟,挾,手,9,S,1981,pinch,キョウ,はさ-む|はさ-まる,1715,2
405,狭,狹,犬,9,S,,cramped,キョウ,せま-い|せば-める|せば-まる,1310,1
406,恐,,心,10,S,,fear,キョウ,おそ-れる|おそ-ろしい,740,3
407,恭,,心,10,S,,respect,キョウ,うやうや-しい,17170,1
408,胸,,肉,10,6,,bosom,キョウ,むね（むな）,618,2
409,脅,,肉,10,S,,threaten,キョウ,おびや-かす|おど-す|おど-かす,4241,1
410,強,,弓,11,2,,strong,キョウ|ゴウ,つよ-い|つよ-まる|つよ-める|し-いる,222,4
411,教,,攴,11,2,,teach,キョウ,おし-える|おそ-わる,185,4
412,郷,鄕,邑,11,6,,home town,キョウ|ゴウ,,3220,1
413,境,,土,14,5,,boundary,キョウ（ケイ）,さかい,656,2
414,橋,,木,16,3,,bridge,キョウ,はし,2262,2
415,矯,,矢,17,S,1981,rectify,キョウ,た-める,20950,1
416,鏡,,金,19,4,,mirror,キョウ,かがみ,2281,1
417,競,,立,20,4,,compete,キョウ|ケイ,きそ-う|せ-る,3109,2
418,響,響,音,20,S,,echo,キョウ,ひび-く,403,1
419,驚,,馬,22,S,,wonder,キョウ,おどろ-く|おどろ-かす,607,1
420,仰,,人,6,S,,face-up,ギョウ（コウ）,あお-ぐ|おお-せ,994,1
421,暁,曉,日,12,S,,daybreak,ギョウ,あかつき,10817,1
422,業,,木,13,3,,business,ギョウ|ゴウ,わざ,437,4
423,凝,,冫,16,S,,congeal,ギョウ,こ-る|こ-らす,5301,1
424,曲,,曰,6,3,,musical composition,キョク,ま-がる|ま-げる,911,3
425,局,,尸,7,3,,office,キョク,,774,3
426,極,,木,12,4,,poles,キョク|ゴク,きわ-める|きわ-まる|きわ-み,739,2
427,玉,,玉,5,1,,ball,ギョク,たま,2671,2
428,巾,,巾,3,S,2010,towel,キン,,13786,1
429,斤,,斤,4,S,,axe,キン,,57592,1
430,均,,土,7,5,,level,キン,,3152,2
431,近,,辵,7,2,,near,キン,ちか-い,496,4
432,金,,金,8,1,,gold,キン|コン,かね（かな）,577,5
433,菌,,艸,11,S,,germ,キン,,5232,1
434,勤,勤,力,12,6,,diligence,キン（ゴン）,つと-める|つと-まる,1122,3
435,琴,,玉,12,S,,harp,キン,こと,11906,1
436,筋,,竹,12,6,,muscle,キン,すじ,2280,1
437,僅,,人,13,S,2010,a wee bit,キン,わず-か,1439,1
438,禁,,示,13,5,,prohibition,キン,,3012,2
439,緊,,糸,15,S,,tense,キン,,3041,1
440,錦,,金,16,S,2010,brocade,キン,にしき,20245,1
441,謹,謹,言,17,S,,discreet,キン,つつし-む,38723,1
